region,country,weather_station,station_code,data_format,url
2,BGD,Bogra,418830,SWERA,2_asia_wmo_region_2/BGD_Bogra.418830_SWERA.zip
2,BGD,Chittagong-Patenga,419780,SWERA,2_asia_wmo_region_2/BGD_Chittagong-Patenga.419780_SWERA.zip
2,BGD,Coxs.Bazar,419920,SWERA,2_asia_wmo_region_2/BGD_Coxs.Bazar.419920_SWERA.zip
2,BGD,Dhaka,419230,SWERA,2_asia_wmo_region_2/BGD_Dhaka.419230_SWERA.zip
2,BGD,Ishurdi,419070,SWERA,2_asia_wmo_region_2/BGD_Ishurdi.419070_SWERA.zip
2,BGD,Jessore,419360,SWERA,2_asia_wmo_region_2/BGD_Jessore.419360_SWERA.zip
2,BGD,Rangpur,418590,SWERA,2_asia_wmo_region_2/BGD_Rangpur.418590_SWERA.zip
2,BGD,Sylhet,418910,SWERA,2_asia_wmo_region_2/BGD_Sylhet.418910_SWERA.zip
2,CHN,Anhui.Anqing,584240,CSWD,2_asia_wmo_region_2/CHN_Anhui.Anqing.584240_CSWD.zip
2,CHN,Anhui.Bengbu,582210,CSWD,2_asia_wmo_region_2/CHN_Anhui.Bengbu.582210_CSWD.zip
2,CHN,Anhui.Boxian,581020,CSWD,2_asia_wmo_region_2/CHN_Anhui.Boxian.581020_CSWD.zip
2,CHN,Anhui.Dongcheng,583190,CSWD,2_asia_wmo_region_2/CHN_Anhui.Dongcheng.583190_CSWD.zip
2,CHN,Anhui.Hefei,583210,CSWD,2_asia_wmo_region_2/CHN_Anhui.Hefei.583210_CSWD.zip
2,CHN,Anhui.Hefei,583210,SWERA,2_asia_wmo_region_2/CHN_Anhui.Hefei.583210_SWERA.zip
2,CHN,Anhui.Huoshan,583140,CSWD,2_asia_wmo_region_2/CHN_Anhui.Huoshan.583140_CSWD.zip
2,CHN,Anhui.Shouxian,582150,CSWD,2_asia_wmo_region_2/CHN_Anhui.Shouxian.582150_CSWD.zip
2,CHN,Anhui.Tunxi,585310,CSWD,2_asia_wmo_region_2/CHN_Anhui.Tunxi.585310_CSWD.zip
2,CHN,Beijing.Beijing,545110,CSWD,2_asia_wmo_region_2/CHN_Beijing.Beijing.545110_CSWD.zip
2,CHN,Beijing.Beijing,545110,IWEC,2_asia_wmo_region_2/CHN_Beijing.Beijing.545110_IWEC.zip
2,CHN,Beijing.Beijing,545110,SWERA,2_asia_wmo_region_2/CHN_Beijing.Beijing.545110_SWERA.zip
